0,2
0.2,2.199033333
0.4,2.392033157
0.6,2.572739446
0.8,2.736045899
1,2.877787307
1.2,2.994566106
1.4,3.083610906
1.6,3.142661083
1.8,3.169872645
2,3.16374145
2.2,3.123040567
2.4,3.046769191
2.6,2.934110962
2.8,2.784399979
3,2.597093063
3.2,2.371747144
3.4,2.108000812
3.6,1.805559263
3.8,1.464182024
4,1.083672944
4.2,0.66387202
4.4,0.20464874
4.6,-0.294103356
4.8,-0.832471108
5,-1.410525349
5.2,-2.028323861
5.4,-2.685913773
5.6,-3.383333531
5.8,-4.120614495
6,-4.897782243
6.2,-5.714857643
6.4,-6.571857712
6.6,-7.468796336
6.8,-8.405684838
7,-9.382532456
7.2,-10.39934672
7.4,-11.45613379
7.6,-12.55289867
7.8,-13.68964544
8,-14.86637745
8.2,-16.08309742
8.4,-17.33980757
8.6,-18.6365097
8.8,-19.97320529
9,-21.34989556
9.2,-22.76658147
9.4,-24.22326384
9.6,-25.71994332
9.8,-27.25662043
10,-28.83329562
10.2,-30.44996924
10.4,-32.10664157
10.6,-33.80331286
10.8,-35.5399833
11,-37.31665305
11.2,-39.13332222
11.4,-40.98999094
11.6,-42.88665927
11.8,-44.8233273
12,-46.79999508
12.2,-48.81666265
12.4,-50.87333006
12.6,-52.96999733
12.8,-55.10666449
13,-57.28333156
13.2,-59.49999855
13.4,-61.75666548
13.6,-64.05333237
13.8,-66.38999921
14,-68.76666603
14.2,-71.18333281
14.4,-73.63999957
14.6,-76.13666632
14.8,-78.67333305
15,-81.24999977
15.2,-83.86666648
15.4,-86.52333318
15.6,-89.21999987
15.8,-91.95666656
16,-94.73333325
16.2,-97.54999993
16.4,-100.4066666
16.6,-103.3033333
16.8,-106.24
17,-109.2166666
17.2,-112.2333333
17.4,-115.29
17.6,-118.3866667
17.8,-121.5233333
18,-124.7
18.2,-127.9166667
18.4,-131.1733333
18.6,-134.47
18.8,-137.8066667
19,-141.1833333
19.2,-144.6
19.4,-148.0566667
19.6,-151.5533333
19.8,-155.09
20,-158.6666667
